食材名称,数量,购买日期,分类,备注
牛肉（适合炖着吃）,,2026/6/13,,
牛肉（适合炒着吃）,,2026/6/13,,
牛肉腊肠,,2026/6/13,,
猪肉腊排骨,,2026/6/13,,
岛屿,,2026/6/13,,
哈尔滨风干香肠,,2026/6/13,,
小龙虾,,2026/6/13,,
香辣味道猪肉香肠,,2026/6/13,,
牛肉丸子,,2026/6/13,,
猪肉排骨,,2026/6/13,,
小米辣椒,,2026/6/13,,
红油郫县豆瓣酱,,2026/6/13,,
老干妈风味豆鼓油制辣椒,,2026/6/13,,
李锦记蒜蓉辣椒酱,,2026/6/13,,
李锦记爆香蒜蓉酱,,2026/6/13,,
鸡蛋,,2026/6/13,,
益力多,,2026/6/13,,
薄盐蚝油,,2026/6/13,,
生姜,,2026/6/13,,
大蒜,,2026/6/13,,
东北酸菜,,2026/6/13,,
鸭梨,,2026/6/13,,
海底捞菌汤火锅底料,,2026/6/13,,
巧星厨麻辣海鲜调味料,,2026/6/13,,
面粉,,2026/6/13,,
五常大米,,2026/6/13,,
花生油,,2026/6/13,,
白糖,,2026/6/13,,
有机小米,,2026/6/13,,
有机本草银耳,,2026/6/13,,
芝麻香油,,2026/6/13,,
莲子,,2026/6/13,,
山西老陈醋,,2026/6/13,,
葱姜汁料酒,,2026/6/13,,
胡椒粉,,2026/6/13,,
海天添丁甜醋,,2026/6/13,,
海天纯米白醋,,2026/6/13,,
海天酱油,,2026/6/13,,
鸡精,,2026/6/13,,
食用盐,,2026/6/13,,
烧烤四合一调味料 芝麻，孜然，辣椒等,,2026/6/13,,
水蜜桃,,2026/6/13,,
西瓜,,2026/6/13,,
火龙果,,2026/6/13,,
香菜,,2026/6/13,,
生菜,,2026/6/13,,
黄瓜,,2026/6/13,,
